,Cycle,RecipID,TotalGiftAmt,TotalGiftAvg,TotalGiftCount,TotalGiftAvg.1,DonorCount,MultiCycleDonorCount,RepeatDonorCount,MaleDonorCount,FemaleDonorCount,CycleCands_x,FECCandID,CID_x,FirstLastP,Party,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCodeCands,NoPacs,curr_cand,incumbent,challenger,open_office,nopacs,republican,democrat,other_party,cand_party,cand_status,run_for_state,run_for_district,presidential_year,label,CID_y,CycleCands_y,AmountRank,AmountRankSimple,10M_amt,1M_to_10M_amt,100K_to_1M_amt,10K_to_100K_amt,1K_to_10K_amt,100_to_1K_amt,10_to_100_amt,1_to_10_amt,0_to_1_amt,senate_seat,presidential_seat,house_seat
62,2010,N00001725,649875,857.3548812664908,974,1.2849604221635884,758,159,242,490,228,2010,H2WA04090,N00001725,Jay Inslee (D),D,WA01,WA01,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,WA,01,0,1,N00001725,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
63,2010,N00001746,127508,861.5405405405405,166,1.1216216216216215,148,40,47,110,26,2010,H2PA02055,N00001746,Chaka Fattah (D),D,PA02,PA02,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,PA,02,0,1,N00001746,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,0
64,2010,N00001758,2119670,993.750586029067,2705,1.2681669010782934,2133,451,677,1571,478,2010,S0IA00028,N00001758,Chuck Grassley (R),R,IAS1,IAS1,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,IA,S1,0,1,N00001758,2010,0.97531157313721,2.0,0,1,0,0,0,0,0,0,0,1,0,0
65,2010,N00001762,2324956,1202.1489141675283,2484,1.2843846949327815,1934,7,418,1303,444,2010,S4HI00011,N00001762,Daniel K Inouye (D),D,HIS1,HIS1,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,HI,S1,0,1,N00001762,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,1,0,0
66,2010,N00001783,539080,1084.6680080482895,659,1.3259557344064383,497,157,185,337,143,2010,H6MI16034,N00001783,John D Dingell (D),D,MI15,MI15,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MI,15,0,1,N00001783,2010,0.8370352542951858,3.0,0,0,1,0,0,0,0,0,0,0,0,1
67,2010,N00001806,641281,1049.5597381342063,836,1.3682487725040915,611,0,130,489,92,2010,H6MN08047,N00001806,James L Oberstar (D),D,MN08,MN08,Y,Y,I,DL, ,1,1,0,0,0,0,1,0,Democrat,Lose,MN,08,0,0,N00001806,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
68,2010,N00001811,541425,1195.1986754966888,676,1.4922737306843268,453,227,255,313,111,2010,H6TX21012,N00001811,Lamar Smith (R),R,TX21,TX21,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,TX,21,0,1,N00001811,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
69,2010,N00001813,146100,1106.8181818181818,188,1.4242424242424243,132,20,43,94,22,2010,H0NY18065,N00001813,Jose E Serrano (D),D,NY16,NY16,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,NY,16,0,1,N00001813,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
70,2010,N00001817,269950,1106.3524590163934,292,1.1967213114754098,244,130,141,202,34,2010,H6FL06035,N00001817,C W Bill Young (R),R,FL10,FL10,Y,Y,I,RW, ,1,1,0,0,0,1,0,0,Republican,Win,FL,10,0,1,N00001817,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
71,2010,N00001821,1532755,1276.232306411324,1504,1.2522897585345545,1201,485,573,870,268,2010,H2MD05155,N00001821,Steny H Hoyer (D),D,MD05,MD05,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,MD,05,0,1,N00001821,2010,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1
72,2010,N00001861,404652,952.1223529411764,471,1.108235294117647,425,76,97,308,101,2010,H6CA24048,N00001861,Henry Waxman (D),D,CA30,CA30,Y,Y,I,DW, ,1,1,0,0,0,0,1,0,Democrat,Win,CA,30,0,1,N00001861,2010,1.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1
